1,01,28,AG,6,29836.0,I
1,01,28,HH,0,,
1,01,28,IV,0,,
1,02,28,AG,0,,
1,02,28,HH,0,,
1,02,28,IV,0,,
1,03,28,AG,0,,
1,03,28,HH,0,,
1,03,28,IV,0,,
1,04,28,AG,0,,
1,04,28,HH,8,14263.0,I
1,04,28,IV,0,,
1,05,28,AG,1,931.0,I
1,05,28,HH,1,1581.0,A
1,05,28,HH,1,1581.0,I
1,05,28,IV,0,,
1,06,28,AG,4,2308.0,I
1,06,28,HH,1,1292.0,A
1,06,28,HH,2,4739.0,I
1,06,28,IV,0,,
1,07,28,AG,0,,
1,07,28,HH,0,,
1,07,28,IV,2,14419.0,A
1,08,28,AG,1,116.0,I
1,08,28,HH,2,537.0,I
1,08,28,IV,0,,
1,09,28,AG,0,,
1,09,28,HH,0,,
1,09,28,IV,0,,
1,10,28,AG,0,,
1,10,28,HH,0,,
1,10,28,IV,0,,
1,11,28,AG,0,,
1,11,28,HH,4,873.0,I
1,11,28,HH,1,0.0,A
1,11,28,IV,0,,
1,12,28,AG,1,241.0,A
1,12,28,AG,3,1579.0,I
1,12,28,HH,2,0.0,I
1,12,28,IV,0,,
1,13,28,AG,0,,
1,13,28,HH,4,286.0,I
1,13,28,IV,0,,
1,14,28,AG,0,,
1,14,28,HH,3,4175.0,A
1,14,28,HH,4,5891.0,I
1,14,28,IV,0,,
1,15,28,AG,0,,
1,15,28,HH,0,,
1,15,28,IV,0,,
1,16,28,AG,0,,
1,16,28,HH,0,,
1,16,28,IV,0,,
1,17,28,AG,0,,
1,17,28,HH,0,,
1,17,28,IV,0,,
1,18,28,AG,2,119.0,I
1,18,28,HH,4,20370.0,I
1,18,28,IV,0,,
1,19,28,AG,2,10309.0,I
1,19,28,HH,0,,
1,19,28,IV,0,,
1,20,28,AG,1,0.0,I
1,20,28,HH,0,,
1,20,28,IV,0,,
1,21,28,AG,1,2118.0,I
1,21,28,HH,1,2901.0,I
1,21,28,IV,0,,
1,22,28,AG,0,,
1,22,28,HH,0,,
1,22,28,IV,0,,
1,23,28,AG,0,,
1,23,28,HH,0,,
1,23,28,IV,0,,
1,24,28,AG,0,,
1,24,28,HH,0,,
1,24,28,IV,0,,
1,25,28,AG,0,,
1,25,28,HH,0,,
1,25,28,IV,0,,
1,26,28,AG,6,3818.0,I
1,26,28,HH,1,506.0,I
1,26,28,IV,0,,
1,27,28,AG,0,,
1,27,28,HH,1,2670.0,A
1,27,28,HH,5,6405.0,I
1,27,28,IV,1,4513.0,A
1,27,28,IV,1,0.0,I
1,28,28,AG,0,,
1,28,28,HH,0,,
1,28,28,IV,0,,
1,29,28,AG,0,,
1,29,28,HH,1,2404.0,I
1,29,28,IV,0,,
1,30,28,AG,0,,
1,30,28,HH,0,,
1,30,28,IV,0,,
1,31,28,AG,0,,
1,31,28,HH,0,,
1,31,28,IV,0,,
